id,name,fold,tstat,pvalue,anova,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,B1,BCG,PPD,T011B1_not_identified,T013B1_not_identified,T014B1_not_identified,T032B1_not_identified,T033B1_not_identified,T047B1_not_identified,T011BCG_not_identified,T013BCG_not_identified,T014BCG_not_identified,T032BCG_not_identified,T033BCG_not_identified,T047BCG_not_identified,T011PPD_not_identified,T013PPD_not_identified,T014PPD_not_identified,T032PPD_not_identified,T033PPD_not_identified,T047PPD_not_identified,isotopes
3901,M539T3664,8.749490015,-2.699355946,0.041939196,0.126942349,539.2521235,539.2519622,539.2522707,3664.4493,3657.7812,3665.81988,5,1,1,3,202769825.3,9859535.953,184054201.3,63368083.83,64677352.92,57432837.42,8218506.777,23362539.28,4649561.31,2847985.034,17175146.9,10282920.07,46829763.32,191539976.8,38985462.3,195382550.5,206186238.8,1061167696,
3902,M617T1289,32.48545405,2.711795911,0.041952161,0.006552713,617.2890856,617.288727,617.2891361,1288.91588,1281.91356,1289.57886,3,0,3,0,26140.80835,29959.34697,39888.82511,8397.353011,126067.7488,427668.146,4693.182077,5057118.867,0,7577958.117,5695637.328,3043991.907,127159.6176,57014.83551,0,806730.5811,0,2230.855859,
3903,M519T6251_1,21.54080534,-2.711061077,0.04196759,0.019013158,518.7483474,518.7477906,518.7485916,6251.3866,6247.1038,6252.816,4,3,1,0,24534093.31,4909830.65,15109767.58,96188.30253,37021077.04,12172847.63,2084446.692,96050.59044,631586.0043,244480.0291,374110.3415,925886.0454,10929383.49,41979831.28,74527301.89,0,118832481.2,45372826.98,
3904,M1204T5840,4.064942273,-2.49919459,0.041970569,0.007428475,1203.900841,1203.898624,1203.901772,5840.46249,5836.65214,5852.33848,12,6,3,3,169475987.1,151364236.5,352934849.6,150562262.2,53356126.65,68449224.23,12564601.91,38716740.12,121929964.1,2371880.565,56563574.63,609972.3966,357049.2696,6433138.756,17338087.89,85713351.6,1096811.207,105515.9377,
3905,M740T6532_1,7.824409107,-2.613864286,0.041986583,0.007183296,739.8410226,739.8406414,739.8417773,6531.5218,6526.9454,6536.3238,7,4,2,1,36601168,16980371.89,124402589,8524033.325,63149510.05,83754650.36,12629637.21,980426.8522,166490.6295,100773.2734,28360358.74,374134.5821,588978.41,2896694.54,21088759.65,435398.413,1635186.2,748077.8528,
3906,M577T4048_1,7.650169571,2.699322304,0.042002163,0.115203213,576.6127042,576.6112656,576.6132264,4048.00872,4038.33764,4051.6692,7,2,4,1,3919139.372,3702135.945,4833542.851,4282262.336,435063.7464,1232047.283,1146260.659,48621380.23,16118616,6719687.286,32383310.03,35805931.83,1297322.968,3805617.815,54319557.56,15799578.66,16605786.38,315903.904,
3907,M589T4918,6.439429679,-2.640136611,0.042004786,0.01239589,588.7956494,588.7947202,588.7961269,4917.83928,4908.5392,4921.23572,5,0,3,2,86335606.31,100075171.9,123533929.3,62087710.57,4848086.308,7599063.095,5012304.264,11009584.59,1703515.171,29904701.03,11504452.17,572526.583,648551.6357,5090310.229,9806746.008,32065147.57,4740326.238,32995110.38,
3908,M572T6557,4.202979266,-2.467109164,0.042005584,0.011874623,571.7293266,571.7282852,571.7298455,6556.597,6550.3452,6560.9352,8,4,3,1,11512313.43,23084494.66,24660543.81,1648497.495,10785924.15,7479970.424,2738620.871,4045920.255,546058.1216,0,11378655.72,127798.2169,231773.7554,9056100.847,1187845.745,303169.1302,1847033.241,0,
3909,M442T3000_2,2.238429085,2.409444066,0.042009554,0.198960328,442.2316427,442.2313058,442.231887,3000.20321,2992.27744,3009.52,6,2,0,4,35393687.05,11462199.5,8258555.719,39378658.73,44636867.1,12398043.95,15695074.11,60381713.68,70606597.39,33130408.32,90460178.21,68910737.68,8073441.36,32798025.74,3490064.976,96818565.86,10799727.78,70945666.01,
3910,M679T7546,8.682798321,-2.696409975,0.042017014,0.092074173,678.5488195,678.5479201,678.5495481,7546.0003,7543.2706,7550.0212,4,1,0,3,11224548.69,1992092.402,7275121.115,601929.1605,4610606.162,3363703.86,452297.0316,1045564.846,482192.3693,200547.2755,1053951.758,113215.5272,24926448.8,74019118.15,2931447.245,6878488.455,17357589.22,1412905.023,
3911,M678T3126,9.448636077,2.698494318,0.042019625,0.019683513,678.2844258,678.2840191,678.2853978,3125.74575,3117.08028,3135.56966,8,0,5,3,2050966.183,1077855.776,707099.8054,4931440.138,1607364.109,1654744.694,4186352.391,31373352.87,6364383.741,9931361.388,42583935.45,19222705.06,2470130.19,13315923.41,11530057.63,5414977.475,9411925.018,81185.02383,
3912,M428T2481,15.34548954,2.708211915,0.042032872,0.067492439,428.4786891,428.4784114,428.4790537,2481.37495,2479.99734,2495.72116,8,1,4,3,480877.7279,352788.0772,630042.7078,1384588.582,1300411.46,2871370.238,10255452.34,37624976.93,2247022.159,1891698.644,27151813.09,28555582.51,2190821.033,9178746.395,10436509.56,23055467.27,40552652.71,3794191.332,
3913,M776T6240,5.79704847,-2.63092479,0.042034539,0.007578286,775.7300739,775.7295413,775.7304717,6240.3846,6236.2116,6244.0364,5,3,1,1,15800292.89,28540206.09,23785587.75,2916249.116,3986003.777,9291450.821,1958485.325,6744462.668,659011.187,703239.8197,596061.5737,3884036.206,308710.5596,1796036.661,7278910.303,127191.8218,630168.157,533043.8433,
3914,M709T2093,4.485018395,-2.6162482,0.042036787,0.004947178,709.360712,709.3599965,709.3611015,2092.7877,2079.13098,2101.93126,13,6,5,2,335751076.5,417576318.7,510332080.7,107414715.1,137682564.2,62852120.71,7606226.979,52108461.15,132021040.2,79080413.65,72063378.01,7533507.919,591534.6034,3036744.763,15112292.19,120983365.9,1479453.474,817749.744,
