id,name,fold,tstat,pvalue,anova,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,b1,bcg,ppd,T035B1_not_identified,T090B1_not_identified,T142B1_not_identified,T163B1_not_identified,T164B1_not_identified,T165B1_not_identified,T035BCG_not_identified,T090BCG_not_identified,T142BCG_not_identified,T163BCG_not_identified,T164BCG_not_identified,T165BCG_not_identified,T090PPD_not_identified,T142PPD_not_identified,T163PPD_not_identified,T164PPD_not_identified,T165PPD_not_identified,isotopes
2180,M516T3293,2.24596948858839,-0.70371513391987,0.510313077336736,0.545250373135797,516.301632989592,516.30065804232,516.30212844028,3292.60152,3285.51918,3299.50068,8,1,4,3,322098341.065105,4328122903.48402,224568221.263164,138117538.201096,50116785.6702781,301964364.826515,865577701.637664,892530083.275737,234824767.041211,159763457.444429,134117188.587718,101904984.41477901,565863582.100109,283229324.460324,33862900.3783091,120215756.836897,119961796.742631,
2181,M543T4767,1.40162316405719,-0.682898893627593,0.510335712277505,0.673113618444165,543.300741049907,543.298991230917,543.300852581283,4767.22704,4763.23422,4768.6896,3,0,0,3,18734616.8483938,2899877.13312391,2255159.87679863,10564548.7232058,12572067.4221848,21128255.92321,6267305.47760294,5117311.16428685,1509810.96314009,25441340.0708868,5937209.67904239,4352450.41667855,12236854.5488081,218612.436367803,10975191.1700987,7191234.74642142,8444790.23995519,
2182,M633T6259,1.92059198873684,0.692938244488131,0.510528406201746,0.794341096016116,632.70226766791,632.701858908,632.703338132736,6259.425,6252.9594,6265.4676,4,0,3,1,9202965.75558769,3777306.02010271,13251068.4311697,49473639.7779427,3994668.62884703,459532.618479395,2209903.01236127,696276.913799054,102883277.504222,28194282.3103869,18616404.3994937,1352937.15786909,3924099.65452149,122915158.760732,2359146.07870147,4973332.20999983,4671357.93920787,
2183,M752T6734,1.34266242431607,0.682372139210865,0.51079188268459,0.716337757043031,752.329733288747,752.329628519925,752.329846556679,6733.8078,6728.2614,6738.9054,3,0,3,0,9648802.15026158,19514796.0595976,1673872.97472892,4481740.10085172,6659715.44507332,4901086.27473883,6923789.89624388,3162693.53831254,7335679.66528127,23608204.5650293,8305911.05893952,13607753.1897941,19403399.9522978,2409451.01813399,2984640.39462813,6657519.39135833,5720965.7908231,
2185,M591T1282,2.60858320394204,0.701653533872056,0.510974361973955,0.769482332241383,590.951378782412,590.951278936912,590.953614676715,1281.7578,1274.0064,1285.9827,4,0,1,3,394166.36958404,1028256.64061981,1095039.84684033,11931811.2714325,200417.498044962,6695457.4760975,837189.073150711,583219.896493872,48774129.6857462,93548.3790931164,1275800.93746602,4116709.46278091,1751741.41573011,39303498.5466787,0,1833749.7792223,1685956.44020977,
2186,M909T5655,1.88495700166875,0.681689956527861,0.510996440968001,0.780835005449367,908.962406980896,908.959301716609,908.963764010279,5654.89641,5647.9068,5660.69544,6,1,3,2,308965.614479364,173153.597393972,33277158.5407935,0,0,936131.342631596,90636.0561124202,0,0,24822973.8973834,14768472.980389,25717271.3660597,0,0,0,18784434.5767113,21787449.5907122,
2187,M712T1304,1.68101659808612,-0.701337987200461,0.51108129360829,0.514360928985626,711.802131632428,711.801613888538,711.803076201901,1303.74882,1298.73234,1309.6908,6,1,2,3,281105.484687635,3055166.41937472,1028615.86678474,10400919.3432732,984004.507958467,1032741.76319552,2371733.45869034,1504216.13365065,2298486.2232102,1120981.72752707,90101.7060246501,2598054.62184022,3361573.21496675,508327.724089076,6984241.17684996,3133000.88631927,3723227.95247273,
2188,M558T1614,1.62120684195703,-0.683626767671939,0.51144207234459,0.713561071510615,557.80296927075,557.802397789849,557.803677825938,1614.23157,1612.87014,1616.50854,4,3,0,1,69623100.3472472,7177067.18702787,9881934.05346717,31364382.672911,55545285.6878317,19261012.8382659,93145303.1887483,3605576.12902504,1714097.81758647,2690215.21762151,8956118.437155,8844998.66754512,77099317.3593691,222709.995309755,6108364.49145681,4005768.43716482,804557.229672115,
2189,M981T7970,1.66908298444034,0.694203129430283,0.511460946468013,0.422739950057551,980.740244165343,980.739720286183,980.74123062766,7970.2377,7963.6296,7972.8768,4,1,3,0,906042.704594035,2743530.74328854,250979.70593683,3036835.42884666,908327.504227996,433666.55991549,936014.063847485,1182346.17565945,2694423.62297237,8222100.99803232,56229.1443550793,727862.692593748,1112376.7044382,66751.1541840835,1480249.64093032,657944.79761643,197221.35156627,
2190,M579T2045,2.18732211617805,0.70287025496253,0.512083959162353,0.721916102380891,579.324819458705,579.323804215861,579.325115829104,2044.51368,2041.2729,2046.70344,4,0,1,3,21645241.0384589,5777277.63222425,40737104.4793046,52929412.7971602,75828365.8418944,31447609.2888583,399622515.532951,7793116.87929176,21119644.7366777,32004014.9171088,2186331.03383786,36782216.1920688,181746279.378753,34885196.3904323,117554690.927473,15515688.1924271,27232015.5103169,
